[2.26123, -1.20054, 1.23932, -1.60958, -1.5708, -2.45116]
[2.26062, -1.19953, 1.23792, -1.60918, -1.5708, -2.45177]
[2.25998, -1.19846, 1.23643, -1.60876, -1.5708, -2.45241]
[2.2593, -1.19733, 1.23485, -1.60831, -1.5708, -2.45309]
[2.25859, -1.19614, 1.23318, -1.60784, -1.5708, -2.4538]
[2.25784, -1.19488, 1.23142, -1.60734, -1.5708, -2.45455]
[2.25705, -1.19356, 1.22958, -1.60681, -1.5708, -2.45534]
[2.25623, -1.19217, 1.22764, -1.60626, -1.5708, -2.45615]
[2.25538, -1.19072, 1.2256, -1.60568, -1.5708, -2.45701]
[2.25449, -1.18921, 1.22348, -1.60507, -1.5708, -2.4579]
[2.25357, -1.18763, 1.22126, -1.60443, -1.5708, -2.45882]
[2.25261, -1.18599, 1.21895, -1.60376, -1.5708, -2.45978]
[2.25162, -1.18428, 1.21654, -1.60306, -1.5708, -2.46077]
[2.25059, -1.1825, 1.21404, -1.60234, -1.5708, -2.4618]
[2.24954, -1.18066, 1.21144, -1.60158, -1.5708, -2.46285]
[2.24844, -1.17875, 1.20874, -1.60079, -1.5708, -2.46395]
[2.24732, -1.17677, 1.20594, -1.59997, -1.5708, -2.46507]
[2.24616, -1.17472, 1.20304, -1.59912, -1.5708, -2.46623]
[2.24499, -1.17264, 1.20009, -1.59824, -1.5708, -2.4674]
[2.24382, -1.17055, 1.19712, -1.59736, -1.5708, -2.46857]
[2.24266, -1.16846, 1.19414, -1.59648, -1.5708, -2.46973]
[2.24149, -1.16636, 1.19115, -1.59558, -1.5708, -2.4709]
[2.24033, -1.16425, 1.18814, -1.59468, -1.5708, -2.47205]
[2.23918, -1.16214, 1.18512, -1.59378, -1.5708, -2.47321]
[2.23803, -1.16003, 1.18209, -1.59286, -1.5708, -2.47436]
[2.23688, -1.15791, 1.17905, -1.59194, -1.5708, -2.47551]
[2.23573, -1.15578, 1.176, -1.59101, -1.5708, -2.47666]
[2.23459, -1.15364, 1.17293, -1.59008, -1.5708, -2.4778]
[2.23345, -1.1515, 1.16985, -1.58914, -1.5708, -2.47894]
[2.23231, -1.14936, 1.16675, -1.58819, -1.5708, -2.48008]
[2.23118, -1.14721, 1.16364, -1.58723, -1.5708, -2.48121]
[2.23004, -1.14505, 1.16052, -1.58627, -1.5708, -2.48234]
[2.22892, -1.14289, 1.15739, -1.5853, -1.5708, -2.48347]
[2.22779, -1.14072, 1.15424, -1.58432, -1.5708, -2.4846]
[2.22667, -1.13854, 1.15108, -1.58334, -1.5708, -2.48572]
